Ativo;ADF_Preco_Stat;ADF_Preco_p;ADF_Retorno_Stat;ADF_Retorno_p;KPSS_Retorno_Stat;KPSS_Retorno_p;JarqueBera_Stat;JarqueBera_p;ARCH_LM_Stat;ARCH_LM_p;LjungBox_Stat;LjungBox_p;VarianceRatio;VarianceRatio_p;IQR;Outliers_Pct;Chow_Media_Crise_BR_2015_stat;Chow_Media_Crise_BR_2015_p;Chow_Var_Crise_BR_2015_stat;Chow_Var_Crise_BR_2015_p;Chow_Media_Impeachment_2016_stat;Chow_Media_Impeachment_2016_p;Chow_Var_Impeachment_2016_stat;Chow_Var_Impeachment_2016_p;Chow_Media_COVID_2020_stat;Chow_Media_COVID_2020_p;Chow_Var_COVID_2020_stat;Chow_Var_COVID_2020_p;Chow_Media_Juros_2022_stat;Chow_Media_Juros_2022_p;Chow_Var_Juros_2022_stat;Chow_Var_Juros_2022_p
ABCB4;0,4644758995181079;0,9837524243306768;-18,336582644654484;2,2503623697202594e-30;0,04187553215929646;0,1;2930,9191011042567;0,0;735,9239951728837;1,21302405809818e-151;15,574285151396467;0,11248479487288536;0,9522203861560233;0,16962672430512016;0,023213642303972083;2,8744326777609683;0,38658824623260074;0,6990968468967896;8,729569014936057;0,0031493295595117483;0,5157541886332152;0,6060634237511285;21,086614044541186;4,5260233102352545e-06;0,043490445349246336;0,9653134680802476;1,6218003296076207;0,2029156099427855;0,6604232497549359;0,5090526939435437;29,715317728439334;5,30840606277672e-08
ABEV3;-2,3938799631200234;0,1434711997418004;-11,048755566696485;5,143235453041729e-20;0,3116399592201079;0,1;10573,277329840894;0,0;579,2607463867085;4,878775991532034e-118;27,71874707175088;0,002002132460735266;0,9356997424403506;0,06456142615520033;0,01697106056558062;3,983862834089763;1,5782944787996462;0,11462043396717034;0,2415540841280889;0,6231131310357962;1,6455285635213313;0,0999494826024691;1,119951497299265;0,28999338165975364;0,5480410044357934;0,5837120995117449;23,125982255306045;1,5736067452520915e-06;0,6016821653971637;0,5474526228121082;16,741201853766814;4,3692398898699914e-05
AGRO3;-0,6869011111525631;0,8501133333500801;-65,75231653886092;0,0;0,08968695022240157;0,1;3416,3266384574163;0,0;217,72329599014253;3,201685493794813e-41;10,391184040078512;0,40686919427853363;0,929963604785692;0,04409720098737635;0,016324036120978477;7,211296016137165;1,0187378780708616;0,30844596795685386;5,850845631461982;0,015614321079465154;0,6228606267506642;0,5334231557784243;0,3456699890692472;0,5566080301409209;0,07058187348525007;0,9437356546399417;47,13094493506966;7,674833557441271e-12;0,7598526583134079;0,44744039747498443;0,6521856818193976;0,41938077953059644
ALPA4;-1,6997673243989448;0,4312323623248079;-23,61413419368193;0,0;0,2695240491616698;0,1;18384,35456668212;0,0;550,4821274266332;7,068070240308307e-112;46,353229260829394;1,2376128197971447e-06;0,9151548070810376;0,014734566423570739;0,02594075508638668;3,6308623298033282;0,14833187580231263;0,8820891995167922;99,6121230675827;3,4729959591965945e-23;0,20831096313298536;0,8349969134509136;80,5707135846518;4,243142794028064e-19;1,6927503444303211;0,09064929140106816;139,92704940786464;9,389902461566159e-32;1,80842235567432;0,07075363257159033;85,55280674329309;3,5940051508933676e-20
AMAR3;-1,193320637436258;0,6764623848260516;-17,175516303550243;6,699664504846201e-30;0,3978165434266726;0,07809631748850318;36926,688981388;0,0;1304,544361847806;3,999103648900354e-274;22,995222504276125;0,010764226656140333;1,0571361078247727;0,10051696280176659;0,03312512722253412;5,547150781643974;1,7728533004183413;0,07633211937008262;164,72683257694183;5,663078815649042e-37;1,1521136646379295;0,24934485821899047;177,99990065950064;9,426162415866554e-40;2,2220399377971836;0,026391348726060717;208,97383976456595;3,3771739761699322e-46;1,8006249702724517;0,07196869158674059;56,39839950189547;7,269616329560919e-14
AMER3;-1,7336512080827509;0,41386304360547;-13,811684788061216;8,209012494157521e-26;0,4591910298544953;0,05164179747651067;6157900,448097398;0,0;84,58103459322561;6,313258443997019e-14;80,5303248930032;3,9515121786424384e-13;1,2295229799890637;4,180411572463072e-11;0,042398473612825775;4,992435703479576;1,1112491832220703;0,26653253718302417;23,273945382842147;1,4577265371108176e-06;1,0211409170400294;0,3072508210708668;23,896222747253194;1,0569632331832083e-06;2,3587431853178527;0,018442621152066185;69,17977813830817;1,2217932281403164e-16;2,21092438786619;0,027243059814998725;79,13397811922171;8,654618696706308e-19
AXIA3;0,7057763049782321;0,9899524434640269;-18,12849608644379;2,5099411459029865e-30;0,24308224903848105;0,1;35755,198634234286;0,0;233,07987921372884;1,9411926877467746e-44;23,24815678926144;0,009866738433409494;1,0275884680628202;0,42776704125348197;0,028615624661272248;5,093292990418558;2,1324991744045065;0,03305234265938462;12,084766772348434;0,0005138112348983664;1,9283619945189132;0,05388888307064282;2,2128187024802197;0,13694793079936118;0,4208018174489374;0,6739260197460234;38,05402971956524;7,570604957634595e-10;0,7211869461120872;0,4708483561980153;123,07215640154553;3,4810569847494408e-28
AXIA6;1,1932425081657507;0,99593886115936;-18,454226310296477;2,1515193597677737e-30;0,1780587738840785;0,1;19333,12975870005;0,0;450,17880439835875;1,9137074458919903e-90;28,615181386183693;0,0014378101663953344;1,0878319676854278;0,011579983557256313;0,026127395473960945;4,740292486132123;1,8715398358448805;0,061382763121254694;6,954280580823751;0,008394530461149881;1,5835311022711505;0,11339291991971702;0,42445309563467093;0,514761126017031;0,46351884488814654;0,643021297209427;45,73994113997985;1,5481043874111663e-11;0,9199732868867686;0,3576589722490735;123,70296347795801;2,557459638237607e-28
B3SA3;-0,9357823723892258;0,775960554268297;-27,48918824460713;0,0;0,06892833260586849;0,1;2276,3166184026636;0,0;472,4355132982041;3,406872349073435e-95;25,797756410936408;0,004021927762321407;0,8914356274162902;0,0018046117224548297;0,026225047845739743;3,1265758951084215;0,932526993143699;0,3511543378892204;0,010456520987560532;0,9185577529884551;0,3418903782196313;0,7324546133311537;0,04386826421887738;0,8341096614548421;0,786555397895756;0,43161212526753207;9,881008455853967;0,0016822674232835903;0,17310084706935355;0,8625920675642089;0,684643921116672;0,40804198615159365
BBAS3;-0,742221685485314;0,8355080395579342;-22,7100601754404;0,0;0,03653551688857495;0,1;14914,958115302798;0,0;574,1137633175388;6,173246654025811e-117;21,730718545762898;0,016536756152650968;1,0009739098325205;0,9776664467135983;0,023974463574202166;4,664649520927886;0,48888514078994694;0,624962314576098;2,11934446523934;0,14552797827097083;0,6855491058641162;0,4930486035270567;15,413943516784942;8,781565209276665e-05;0,21576625025080529;0,8291833497398303;40,81301848747369;1,86880397917283e-10;0,7504244963714581;0,45306387380039853;112,74504176098264;5,465277154843874e-26
