Estratégia,Sharpe (rf CTE),Sharpe (rf VAR),Δ Sharpe,Sortino (rf CTE),Sortino (rf VAR),Δ Sortino
EqualWeight,-0.19764581607405945,-0.19684719291089123,0.0007986231631682272,-0.18856603747082415,-0.18755995079992646,0.0010060866708976879
MinVar,-0.05895667522446323,-0.05771461321613045,0.001242062008332781,-0.055934249980351555,-0.05482421835248458,0.001110031627866978
MaxSharpe,0.09205050362938717,0.09231421761854815,0.0002637139891609741,0.0981326789094297,0.09843213918341882,0.00029946027398912445
InvVol,-0.034045318543961305,-0.03325315191958639,0.0007921666243749168,-0.03242751095539023,-0.03168703153147798,0.0007404794239122547
IBOVESPA,-0.023432625856227948,-0.022839086032936984,0.0005935398232909637,-0.022831953676324273,-0.022246827737225777,0.0005851259390984957
