,ret_anual,vol_anual,sharpe,sortino,max_drawdown,turnover_aa
EqualWeight,0.03947009,0.18642089,-0.19690507,-0.27274088,-0.53102537,0.88077779
MinVar,0.08309315,0.11352654,-0.05774000,-0.08085915,-0.34335450,2.96217864
MaxSharpe,0.00821512,0.51475056,0.09231880,0.13587363,-0.89004500,9.03370787
InvVol,0.07398207,0.17639285,-0.03326240,-0.04644596,-0.48356397,0.85790145
IBOV,0.06204651,0.23307334,-0.02283155,-0.03199464,-0.46815962,
