Estratégia,Retorno acumulado,CAGR,Vol. anualizada,Sharpe (rf var),Sortino (rf var),Max Drawdown
EqualWeight,0.7653990507072013,0.03947010152003738,0.18642088979759186,-0.19684719291089123,-0.18755995079992646,-0.5310253486758045
MinVar,2.2283601647271962,0.08309312643587363,0.11352653822083314,-0.05771461321613045,-0.05482421835248458,-0.3433545085304119
MaxSharpe,0.12763886560677284,0.008215111350453608,0.5147505623530453,0.09231421761854815,0.09843213918341882,-0.8900450104216175
InvVol,1.8517740956665545,0.07398206714803668,0.1763928481076855,-0.03325315191958639,-0.03168703153147798,-0.4835639686402276
IBOVESPA,1.4201415513510178,0.06204438831302794,0.23307337020573765,-0.022839086032936984,-0.022246827737225777,-0.46815787865709874
