,ACAO_ABCB4,ACAO_ABEV3,ACAO_AGRO3,ACAO_ALPA4,ACAO_AMAR3,ACAO_AMER3,ACAO_AXIA3,ACAO_AXIA6,ACAO_B3SA3,ACAO_BBAS3,ACAO_BBDC3,ACAO_BBDC4,ACAO_BEEF3,ACAO_BRAP4,ACAO_BRKM5,ACAO_BRSR6,ACAO_CGAS5,ACAO_CLSC4,ACAO_CMIG3,ACAO_CMIG4,ACAO_COCE5,ACAO_CPFE3,ACAO_CPLE3,ACAO_CSAN3,ACAO_CSMG3,ACAO_CSNA3,ACAO_CSUD3,ACAO_CYRE3,ACAO_DXCO3,ACAO_EGIE3,ACAO_EMBJ3,ACAO_ENEV3,ACAO_EQTL3,ACAO_ETER3,ACAO_EUCA4,ACAO_EVEN3,ACAO_EZTC3,ACAO_FESA4,ACAO_FHER3,ACAO_FICT3,ACAO_FLRY3,ACAO_GFSA3,ACAO_GGBR3,ACAO_GGBR4,ACAO_GOAU4,ACAO_GOLL54,ACAO_GRND3,ACAO_HAGA4,ACAO_HBOR3,ACAO_HYPE3,ACAO_INEP4,ACAO_ISAE4,ACAO_ITSA3,ACAO_ITSA4,ACAO_ITUB3,ACAO_ITUB4,ACAO_JHSF3,ACAO_KEPL3,ACAO_KLBN4,ACAO_LAND3,ACAO_LIGT3,ACAO_LOGN3,ACAO_LPSB3,ACAO_LREN3,ACAO_LUPA3,ACAO_MBRF3,ACAO_MDIA3,ACAO_MOTV3,ACAO_MRVE3,ACAO_MULT3,ACAO_MYPK3,ACAO_NATU3,ACAO_NEXP3,ACAO_ODPV3,ACAO_OIBR3,ACAO_OIBR4,ACAO_PDGR3,ACAO_PDTC3,ACAO_PETR3,ACAO_PETR4,ACAO_PFRM3,ACAO_PINE4,ACAO_PMAM3,ACAO_POMO4,ACAO_POSI3,ACAO_PSSA3,ACAO_RADL3,ACAO_RAPT4,ACAO_RDNI3,ACAO_RENT3,ACAO_RIAA3,ACAO_ROMI3,ACAO_RPMG3,ACAO_RSID3,ACAO_SANB11,ACAO_SANB4,ACAO_SBSP3,ACAO_SCAR3,ACAO_SLCE3,ACAO_SMTO3,ACAO_TASA4,ACAO_TCSA3,ACAO_TELB4,ACAO_TGMA3,ACAO_TIMS3,ACAO_TOTS3,ACAO_TPIS3,ACAO_TRIS3,ACAO_UNIP6,ACAO_USIM3,ACAO_USIM5,ACAO_VALE3,ACAO_VIVR3,ACAO_VIVT3,ACAO_VLID3,ACAO_VSTE3,ACAO_WEGE3,ACAO_YDUQ3
ACAO_ABCB4,1.0000000000,0.2672809630,0.1741217862,0.2729354719,0.2787917264,0.2402919622,0.3432343001,0.3346581206,0.4072769034,0.4792509233,0.4864670389,0.5120776262,0.1836685477,0.2727189864,0.2348870996,0.4270638433,0.1753020516,0.1757548429,0.3251118548,0.3596924830,0.1826714942,0.2886381607,0.3193092453,0.3473697085,0.2732997026,0.2983546431,0.2174566574,0.4137135244,0.3583492992,0.2793855201,0.1963648768,0.1654594324,0.3026183038,0.2273304262,0.1950786668,0.3910862340,0.4036807180,0.2407737066,0.1945144774,0.0724809025,0.2578360953,0.2692154206,0.2794526593,0.2962013829,0.3164346142,0.3069983946,0.3079945020,0.1308733136,0.3329243872,0.2916794807,0.1239543823,0.2637538890,0.3603074104,0.5050703980,0.4782152230,0.5009988138,0.3301009453,0.1868652097,0.1796279733,0.1508230776,0.2778696424,0.2186706610,0.2670706791,0.3711355549,0.1752984566,0.2284669440,0.2555763064,0.3478900115,0.3419502953,0.3713588862,0.3445247895,0.2802787012,0.2107955937,0.2045369165,0.1585260341,0.1622017848,0.2377383390,0.1383378601,0.3404812911,0.3523134953,0.2162864031,0.1910614888,0.2362270499,0.3155348503,0.2625307936,0.2520082650,0.2268737981,0.3656474141,0.1633416519,0.3611552626,0.3080505020,0.1882889190,0.1078201101,0.2375623481,0.4486305043,0.2355638338,0.3312599509,0.1574274569,0.1789730017,0.2459781502,0.1430326868,0.3248628633,0.1280187536,0.3258724436,0.2707610246,0.2629548068,0.2169620407,0.2662645741,0.2143479236,0.2421626620,0.2976650286,0.2423871219,0.1327017135,0.1996239304,0.2530062013,0.2119119319,0.2331903204,0.2803164258
ACAO_ABEV3,0.2672809630,1.0000000000,0.1292096383,0.2577420784,0.2424838449,0.2048240626,0.2937451186,0.2829339792,0.3747339686,0.3622212748,0.4396741928,0.4330584072,0.1971282440,0.2403939441,0.2402979042,0.3078588257,0.1325945051,0.1288696650,0.2814952591,0.3153279850,0.1312523666,0.3227409404,0.2769854649,0.3330454613,0.2252938958,0.2567710389,0.1863290952,0.3502874150,0.3122719201,0.3074825498,0.2479303581,0.1860036806,0.2974357112,0.1912000674,0.1428654313,0.2963687521,0.3335785150,0.1672997177,0.1199734650,0.0606061968,0.2538966937,0.2105661677,0.2457594463,0.2702388389,0.2682187447,0.2831172935,0.2859453404,0.1232461738,0.2749869135,0.3041826447,0.0871881375,0.2187503740,0.3030870694,0.4333680305,0.4159214396,0.4352251006,0.2908423628,0.1626404145,0.2055898805,0.1298754939,0.2451043899,0.1924840411,0.2032363151,0.3640031649,0.1174500234,0.2081851212,0.2995712953,0.3473548051,0.3056080216,0.3607671461,0.2723095937,0.2979263701,0.1628315337,0.1857241820,0.1542524978,0.1727390092,0.1679908594,0.1133441980,0.2879683126,0.2929662881,0.1573703835,0.1530083247,0.1712768481,0.2692564828,0.2239611338,0.2709290546,0.2961876613,0.3057353358,0.1199434744,0.3303532172,0.2881180759,0.1740820381,0.1136794997,0.1795346194,0.3930988184,0.2332429769,0.3225970919,0.1448214958,0.1460872188,0.2343525127,0.1482968968,0.2591297871,0.1203949470,0.2582358946,0.3028591879,0.2561161097,0.1676728290,0.2250366056,0.1775992214,0.2135850569,0.2419101681,0.2281520826,0.1365113649,0.2760999234,0.1955299700,0.1888885293,0.2864981573,0.2574106794
ACAO_AGRO3,0.1741217862,0.1292096383,1.0000000000,0.1439414111,0.1614138811,0.1388084606,0.1442930489,0.1601263746,0.1758505111,0.1912502486,0.1645611486,0.1662507665,0.1539039778,0.1445692790,0.1401372451,0.1514433639,0.0872616956,0.0969695655,0.1379709637,0.1450857395,0.1114735459,0.1347768230,0.1321085922,0.1893143125,0.1299541776,0.1643619845,0.1409515959,0.1853783062,0.1737994064,0.1150437190,0.1006179760,0.0968835754,0.1597299153,0.1379657428,0.1010877075,0.1901243149,0.2011951001,0.1868670830,0.1352386935,0.0476703266,0.1656481957,0.1500221306,0.1511231742,0.1562921947,0.1611822575,0.1572823988,0.1634352974,0.1075647011,0.1738859287,0.1600721750,0.0820621794,0.1186252682,0.1358717219,0.1747255455,0.1756368054,0.1655228749,0.1822227264,0.1451368247,0.1005974516,0.1470659720,0.1547019091,0.1474921474,0.1476679601,0.1912347666,0.0899276226,0.1633505992,0.1200306516,0.1673902651,0.1610823283,0.1867440035,0.1530631701,0.1295007919,0.1193260593,0.1113766509,0.1091658780,0.1082494875,0.1175650309,0.1117291908,0.1522205490,0.1501042956,0.1358974088,0.1316358554,0.1324532866,0.1428224184,0.1693095826,0.1241458016,0.1204223179,0.1733572915,0.1134226026,0.1682096965,0.1847169848,0.1334832863,0.0794775302,0.1290388367,0.1585889303,0.1117268878,0.1665489917,0.0889415853,0.2539048147,0.1855044842,0.1498426883,0.1801426725,0.0717028284,0.1829095739,0.1032368743,0.1461276430,0.1334841060,0.1827478709,0.1571438319,0.1614211338,0.1582220963,0.1357564105,0.0708482512,0.1224389167,0.1347409307,0.1316824657,0.1406576432,0.1557359864
ACAO_ALPA4,0.2729354719,0.2577420784,0.1439414111,1.0000000000,0.3233861931,0.2746135115,0.2786821623,0.2695600953,0.3718252504,0.2904673342,0.3386350391,0.3483008158,0.1768143036,0.1827391292,0.2154861499,0.2639020176,0.1380959565,0.1433922688,0.2453185625,0.2711364300,0.1407203156,0.2532505372,0.2563467286,0.3337510976,0.2129866588,0.2228684031,0.2190761988,0.4218080080,0.3574952089,0.2229263686,0.1786657503,0.2341707649,0.2869914942,0.2201640899,0.1589723927,0.3635311013,0.4261189537,0.1879875652,0.1469789981,0.0475646630,0.3110441454,0.2574023197,0.1948382187,0.2115228396,0.2189512565,0.3060816868,0.3611666144,0.1323838536,0.3331789817,0.2955572855,0.1209967969,0.2294969993,0.2717445245,0.3535006557,0.3167951160,0.3249614157,0.3039347651,0.1649544222,0.1612122300,0.1330312619,0.2604327512,0.1963369199,0.2486774803,0.4320835561,0.1666033059,0.1919486004,0.2582370492,0.3178981866,0.3730174984,0.3687747479,0.2609797807,0.3418242550,0.1970605006,0.2166028694,0.1497500233,0.1342770667,0.1746025039,0.1286677878,0.2334777511,0.2455160957,0.1862672209,0.1747219557,0.1956589436,0.2652183911,0.2577804412,0.2464315244,0.2503355911,0.3077126035,0.1501792053,0.3800851199,0.3911876879,0.2211485216,0.1181644196,0.2118976294,0.3016279257,0.1797123883,0.2853662583,0.1713206746,0.1492073876,0.2474715038,0.1681685945,0.3235766153,0.1223513224,0.2903534542,0.2258633379,0.3030278161,0.1860740089,0.2946067368,0.1799115483,0.2172115897,0.2257690341,0.1501494172,0.1259930120,0.2135686294,0.2365061384,0.2052759368,0.2395748021,0.3236816936
ACAO_AMAR3,0.2787917264,0.2424838449,0.1614138811,0.3233861931,1.0000000000,0.2802011094,0.2640048540,0.2510031987,0.3328611669,0.3126547755,0.3023918216,0.3085699942,0.1413964512,0.1656635743,0.1798862644,0.2942845681,0.1312114714,0.1388934830,0.2486185401,0.2660267823,0.1546211249,0.2416712157,0.2290350156,0.2778324925,0.2164590017,0.2114445295,0.2529007821,0.4070148131,0.3180028992,0.2083358689,0.1900294632,0.1989200760,0.2648843058,0.2509371973,0.1751553720,0.3876735557,0.4112690958,0.1919430020,0.1487288282,0.0421765474,0.2319577562,0.3114376491,0.2024712607,0.1995339376,0.2005970263,0.3298890680,0.3095681833,0.1394236406,0.3557414592,0.2814405300,0.1324454116,0.1953311525,0.2444517524,0.3120139624,0.2932700600,0.2950819054,0.3293443444,0.1644040505,0.1168696100,0.1399303419,0.2609642271,0.2144933107,0.2923842997,0.4193326625,0.1708535117,0.1596659495,0.2160926582,0.2996605036,0.3652591356,0.3575338946,0.2701049561,0.2985484318,0.2498169184,0.1805997114,0.1811602570,0.1768449440,0.2539715420,0.1710498952,0.2107106413,0.2200635677,0.2010599181,0.1812394831,0.2146278886,0.2745039825,0.2856322679,0.2395980872,0.2155844861,0.3171565922,0.1435879443,0.3434330469,0.3828884742,0.2296560286,0.1060666555,0.2215756944,0.2676631020,0.1694073483,0.2613167014,0.1508368763,0.1344201750,0.1658205940,0.1348496833,0.3731772605,0.1310890883,0.3008623379,0.2088569179,0.2520553422,0.2271738823,0.3194896232,0.1690029814,0.2124669865,0.2293357323,0.1528979160,0.1880547940,0.1705411429,0.2636131502,0.2737414397,0.1823888017,0.3341859934
ACAO_AMER3,0.2402919622,0.2048240626,0.1388084606,0.2746135115,0.2802011094,1.0000000000,0.2553761483,0.2533751243,0.3115734533,0.2710052056,0.2628454068,0.2520542219,0.1526028760,0.1767390776,0.2029812197,0.2222200336,0.0793925362,0.1221023633,0.2032692333,0.2324646826,0.1444965533,0.2126117228,0.2404311985,0.2707399800,0.2008923840,0.2442782980,0.1887466834,0.3470478107,0.2938955550,0.1774053924,0.1430422205,0.1764446403,0.2318690700,0.1958363712,0.1382699333,0.3046699349,0.3224308180,0.1797307828,0.1187035573,0.0686377032,0.2193112989,0.2775363626,0.2087332096,0.2166596096,0.2214950470,0.2576200633,0.2501434340,0.0988646077,0.2513489726,0.2738306777,0.1063897016,0.1813499071,0.1929978531,0.2738844588,0.2450914118,0.2516891552,0.2443950452,0.1504379239,0.1570746803,0.1425661084,0.2000909957,0.1701834822,0.2018102854,0.3529272516,0.1345735229,0.1771324286,0.2218853759,0.2532006736,0.3234282382,0.2866632876,0.2227543093,0.2992450193,0.1906771411,0.1638845027,0.1852867721,0.1775107852,0.2082496778,0.1061822468,0.2183740604,0.2303591180,0.1557671600,0.1242179235,0.1772552764,0.2359775992,0.2026734198,0.1841824106,0.1939451359,0.2631772565,0.0970076029,0.3192062741,0.2850820752,0.1732849906,0.1019369073,0.2227037109,0.2466132915,0.1376099072,0.2468399356,0.1257590932,0.1351832161,0.1804769566,0.1510238354,0.2884004411,0.1445595714,0.2248015744,0.2092175332,0.2454730678,0.1574731087,0.2562065475,0.1744366546,0.2157903317,0.2488897969,0.1604755030,0.1008119858,0.1597793003,0.1896890229,0.1567072872,0.2062668631,0.2499332241
ACAO_AXIA3,0.3432343001,0.2937451186,0.1442930489,0.2786821623,0.2640048540,0.2553761483,1.0000000000,0.8985878507,0.4409901537,0.4675416160,0.4711531674,0.4640890685,0.1667297047,0.2761958891,0.2447368445,0.3525484169,0.1712710707,0.1951868482,0.4606358700,0.5015066586,0.2223349368,0.4320446805,0.4378833312,0.3591431730,0.3275070617,0.3363165416,0.2137708678,0.4272462682,0.3602571025,0.4063333933,0.2066356768,0.2246697626,0.4122315611,0.2027986918,0.1790611585,0.3733493309,0.3940927207,0.2217278583,0.1727053135,0.0713951213,0.2704743265,0.2659772445,0.2915140740,0.3045230647,0.3267146156,0.3407987379,0.2967322154,0.1222818801,0.3261892967,0.2994057317,0.1091345409,0.3764277274,0.3431190208,0.4850858183,0.4276456126,0.4564112936,0.3232079227,0.1754796402,0.1830813530,0.1682082622,0.3879862270,0.2320997185,0.2492698107,0.3980294012,0.1766510746,0.2379585404,0.2642090725,0.3900605170,0.3623224311,0.3826018412,0.2913148924,0.3189004255,0.2069379388,0.2127319162,0.2007668985,0.2042565273,0.2224049066,0.1198441584,0.3948370095,0.4098905172,0.1979444184,0.1751783638,0.2154065780,0.2853347227,0.2555316147,0.2801071450,0.2341799893,0.3615975695,0.1629492955,0.3724382211,0.3068205064,0.2167559564,0.1041485179,0.2663882169,0.4021383726,0.2429079643,0.4396186040,0.1682581116,0.1359473041,0.2128056982,0.1449609268,0.3280779555,0.1243062606,0.3215577944,0.2871186720,0.2688189214,0.2037408893,0.2676602051,0.1887266397,0.2751007947,0.3399806066,0.2493285023,0.1633628778,0.2529322225,0.2251149692,0.2108838954,0.2381285739,0.2770942629
ACAO_AXIA6,0.3346581206,0.2829339792,0.1601263746,0.2695600953,0.2510031987,0.2533751243,0.8985878507,1.0000000000,0.4233071049,0.4532089726,0.4492446165,0.4441611258,0.1691790033,0.2508458465,0.2392890710,0.3476291770,0.1565539651,0.1768686339,0.4409724394,0.4883785287,0.2111728407,0.4191956119,0.4313002917,0.3555315874,0.3203580598,0.3144592392,0.2114150322,0.4139562999,0.3460037956,0.3944448907,0.2069791555,0.1981265692,0.3986359296,0.1997074099,0.1698890396,0.3533763235,0.3824670493,0.2171387061,0.1762462840,0.0489778105,0.2582998644,0.2544028010,0.2674816804,0.2807525104,0.2992852047,0.3280844451,0.2867624980,0.1138178884,0.3112768087,0.2874175259,0.1025699526,0.3628293673,0.3281806943,0.4664889340,0.4082329804,0.4404322169,0.3056001370,0.1681618308,0.1753774828,0.1614539154,0.3701752474,0.2314832678,0.2336253987,0.3870575664,0.1702865002,0.2273317432,0.2602399341,0.3757606061,0.3465455424,0.3663727645,0.2870122888,0.3131880327,0.1931240550,0.1962344697,0.1972291958,0.2048851358,0.2130077058,0.1205327581,0.3617730048,0.3756472674,0.1962612574,0.1688619476,0.2095537737,0.2727610585,0.2452841804,0.2588214058,0.2350969481,0.3514855959,0.1585358137,0.3589702771,0.3000740305,0.2160293964,0.1124251814,0.2482425661,0.3903991021,0.2359536890,0.4191632498,0.1666063281,0.1345225114,0.1971287891,0.1382382206,0.3060285657,0.1234636535,0.3094931701,0.2786779886,0.2628121727,0.1949884614,0.2468928941,0.1822500021,0.2432207027,0.3093548122,0.2201055909,0.1401528216,0.2383200117,0.2230534871,0.1915975452,0.2251136457,0.2744738298
ACAO_B3SA3,0.4072769034,0.3747339686,0.1758505111,0.3718252504,0.3328611669,0.3115734533,0.4409901537,0.4233071049,1.0000000000,0.5152294442,0.5738879164,0.5745867012,0.2165278656,0.3344125270,0.3014090483,0.4144968686,0.1803488548,0.1963222801,0.3613907192,0.4231373565,0.2323966056,0.4021640680,0.3863419376,0.4641044813,0.3237612011,0.3723158459,0.2691220957,0.5637273517,0.4696629030,0.3863589099,0.2258374660,0.2614898456,0.4112218840,0.2528583878,0.2169883317,0.4866002131,0.5143704066,0.2654486356,0.1878677803,0.0862628172,0.3539057088,0.3399629922,0.3352819233,0.3587389282,0.3794363737,0.3927263276,0.3506857509,0.1499136760,0.4128156273,0.4118019222,0.1389777971,0.3417829772,0.4446532896,0.5959794005,0.5353004874,0.5699260524,0.4040175253,0.2394384303,0.2377445746,0.1838680354,0.3406706527,0.2614108128,0.3122268989,0.5101906059,0.1970374373,0.2805305949,0.3341429659,0.4842309038,0.4886847054,0.5113818395,0.3573268736,0.3802779875,0.2526162368,0.2592943897,0.2138286901,0.2078474453,0.2857752333,0.1705761112,0.4288069884,0.4415563204,0.2198044640,0.2072958130,0.2578685936,0.3560813040,0.3196558843,0.3415479510,0.3232634346,0.4254328232,0.1743936323,0.4917575817,0.3965884761,0.2437102673,0.1290328965,0.3124661525,0.4863459237,0.2813548317,0.4215027503,0.1821177010,0.1991823957,0.2899538016,0.1937635762,0.4111137231,0.1628685958,0.3606434589,0.3389106337,0.3589858834,0.2359946639,0.3329564461,0.2512980212,0.3075483941,0.3656180406,0.3022442676,0.1628518228,0.2660497742,0.2861340025,0.2195013379,0.3349965903,0.3651838018
ACAO_BBAS3,0.4792509233,0.3622212748,0.1912502486,0.2904673342,0.3126547755,0.2710052056,0.4675416160,0.4532089726,0.5152294442,1.0000000000,0.6991014424,0.7169643090,0.1859285692,0.3611957715,0.2789835053,0.5457213425,0.1731047590,0.1980434475,0.4306796820,0.4868631580,0.2063711643,0.3847768267,0.3893795859,0.4299325908,0.3110881234,0.3981337156,0.2369998490,0.4855966047,0.4028533347,0.3910373111,0.2251768605,0.2041456194,0.3621832833,0.2127950546,0.2121583907,0.4252722084,0.4374651118,0.2673332490,0.1884120020,0.0871842239,0.3034263776,0.3079568055,0.3690509463,0.3872207370,0.4032427772,0.3931393430,0.3220970594,0.1373519905,0.3534661493,0.3596347906,0.1331476031,0.3287508409,0.5225270354,0.7212232830,0.6770804846,0.7220424237,0.3753253986,0.2004525041,0.2070017600,0.1910628654,0.3462514738,0.2537342391,0.2803087323,0.4509065322,0.1864841052,0.2619738031,0.2976361211,0.4676201641,0.4048354209,0.4607814269,0.3685263724,0.3356191790,0.2443070506,0.2218416910,0.1975244823,0.2121453684,0.2762145150,0.1665911799,0.5349180406,0.5591340310,0.2026437071,0.1991266286,0.2589206409,0.3513408821,0.2950146326,0.3530770863,0.2633405508,0.4357585627,0.1572777395,0.4318690771,0.3257543481,0.1997931544,0.1224826292,0.3033253726,0.6037971848,0.3501134424,0.4203266501,0.1959321499,0.1701122718,0.2426771439,0.1732325193,0.3642210473,0.1441705780,0.3595492097,0.3478782916,0.2570064929,0.2218381154,0.2671424114,0.2123808399,0.3098797692,0.3951878160,0.3340669526,0.1538352519,0.2933273503,0.2763115338,0.2142637089,0.2688969666,0.3372782923
