,ACAO_ABCB4,ACAO_ABEV3,ACAO_AGRO3,ACAO_ALPA4,ACAO_AMAR3,ACAO_AXIA3,ACAO_AXIA6,ACAO_B3SA3,ACAO_BBAS3,ACAO_BBDC3,ACAO_BBDC4,ACAO_BEEF3,ACAO_BRAP4,ACAO_BRKM5,ACAO_BRSR6,ACAO_CGAS5,ACAO_CLSC4,ACAO_CMIG3,ACAO_CMIG4,ACAO_COCE5,ACAO_CPFE3,ACAO_CPLE3,ACAO_CSAN3,ACAO_CSMG3,ACAO_CSNA3,ACAO_CSUD3,ACAO_CYRE3,ACAO_DXCO3,ACAO_EGIE3,ACAO_EMBJ3,ACAO_ENEV3,ACAO_EQTL3,ACAO_EUCA4,ACAO_EVEN3,ACAO_EZTC3,ACAO_FESA4,ACAO_FHER3,ACAO_FLRY3,ACAO_GFSA3,ACAO_GGBR3,ACAO_GGBR4,ACAO_GOAU4,ACAO_GRND3,ACAO_HAGA4,ACAO_HBOR3,ACAO_HYPE3,ACAO_INEP4,ACAO_ISAE4,ACAO_ITSA3,ACAO_ITSA4,ACAO_ITUB3,ACAO_ITUB4,ACAO_JHSF3,ACAO_KEPL3,ACAO_KLBN4,ACAO_LAND3,ACAO_LOGN3,ACAO_LPSB3,ACAO_LREN3,ACAO_MBRF3,ACAO_MDIA3,ACAO_MOTV3,ACAO_MRVE3,ACAO_MULT3,ACAO_MYPK3,ACAO_NATU3,ACAO_ODPV3,ACAO_PETR3,ACAO_PETR4,ACAO_PFRM3,ACAO_PINE4,ACAO_POMO4,ACAO_POSI3,ACAO_PSSA3,ACAO_RADL3,ACAO_RAPT4,ACAO_RDNI3,ACAO_RENT3,ACAO_RIAA3,ACAO_ROMI3,ACAO_SANB11,ACAO_SANB4,ACAO_SBSP3,ACAO_SCAR3,ACAO_SLCE3,ACAO_SMTO3,ACAO_TASA4,ACAO_TCSA3,ACAO_TELB4,ACAO_TGMA3,ACAO_TIMS3,ACAO_TOTS3,ACAO_TPIS3,ACAO_TRIS3,ACAO_UNIP6,ACAO_USIM3,ACAO_USIM5,ACAO_VALE3,ACAO_VIVT3,ACAO_VLID3,ACAO_WEGE3,ACAO_YDUQ3
ACAO_TGMA3,0.0380845002,0.0227643215,0.0180857113,0.0387206726,0.0549788011,0.0495750119,0.0433319889,0.0473857022,0.0461823961,0.0404219751,0.0420223192,0.0192118601,0.0297208956,0.0256015753,0.0460040645,0.0138004577,0.0148777435,0.0387412010,0.0406375086,0.0173581919,0.0252760967,0.0325231261,0.0414714199,0.0346059881,0.0488632838,0.0331548140,0.0593324467,0.0498261894,0.0211876558,0.0253617836,0.0281320651,0.0281949481,0.0283631310,0.0593924072,0.0564412343,0.0307502678,0.0363374065,0.0324192227,0.0584851204,0.0319864985,0.0345362602,0.0380716523,0.0326343859,0.0282919103,0.0667138722,0.0315452271,0.0263186977,0.0193236672,0.0306664525,0.0389080570,0.0354312914,0.0398718590,0.0543504968,0.0263911921,0.0137137822,0.0216680962,0.0503585398,0.0537217416,0.0520474747,0.0270266873,0.0281030298,0.0416260521,0.0559109489,0.0434063745,0.0435081561,0.0444573760,0.0214286185,0.0414261873,0.0443122341,0.0294888465,0.0266113506,0.0469134937,0.0502886561,0.0262476603,0.0256854297,0.0540958813,0.0258055531,0.0514156171,0.0580514092,0.0395332408,0.0377324797,0.0326825239,0.0369972207,0.0182299056,0.0184441024,0.0248624224,0.0272342877,0.0585000022,0.0226127618,0.1405895198,0.0277918489,0.0314619277,0.0422880950,0.0493119663,0.0286558663,0.0372876795,0.0478770318,0.0262114909,0.0201243307,0.0389091862,0.0258529197,0.0552034471
ACAO_TIMS3,0.0254692137,0.0214885753,0.0082160442,0.0242432257,0.0307188583,0.0356282088,0.0314042906,0.0358412562,0.0359645158,0.0325281334,0.0339842484,0.0173508809,0.0291565325,0.0281794511,0.0333366287,0.0081743107,0.0110556693,0.0290310883,0.0328200188,0.0124580317,0.0225464009,0.0292955412,0.0324200814,0.0244012795,0.0381096962,0.0241130356,0.0414304124,0.0352555232,0.0206786936,0.0256047799,0.0218485534,0.0217729433,0.0196579354,0.0370054437,0.0370488163,0.0187000075,0.0197715394,0.0229994001,0.0395223985,0.0277946900,0.0324980544,0.0342383153,0.0245480094,0.0182175539,0.0392847467,0.0254573668,0.0212276238,0.0178729197,0.0236081877,0.0321351871,0.0280719843,0.0325621756,0.0373085269,0.0184007921,0.0179813537,0.0173646016,0.0262055897,0.0306344292,0.0380445309,0.0248361024,0.0227436396,0.0310529965,0.0420936464,0.0302270641,0.0275966815,0.0273200799,0.0165747975,0.0354712959,0.0348952233,0.0173337301,0.0147327711,0.0286308590,0.0321710353,0.0208518501,0.0214807387,0.0350582441,0.0159442555,0.0335275719,0.0306598593,0.0212547076,0.0346446149,0.0294328291,0.0311835835,0.0123298617,0.0131849427,0.0184715658,0.0190182446,0.0338263963,0.0161398672,0.0277918489,0.0910773696,0.0243056631,0.0192944586,0.0280967503,0.0212177482,0.0292273240,0.0360512607,0.0276369679,0.0343525854,0.0220768157,0.0203760423,0.0342223942
ACAO_TOTS3,0.0276201392,0.0202917323,0.0129860078,0.0363197222,0.0413968668,0.0372484106,0.0330709870,0.0423926688,0.0296692347,0.0281317405,0.0277119572,0.0221321439,0.0225282792,0.0262845058,0.0306029723,0.0112393017,0.0130047296,0.0260888804,0.0289577685,0.0134188871,0.0227224775,0.0247945604,0.0355411746,0.0259787634,0.0332580171,0.0267928782,0.0460150852,0.0392573752,0.0202001873,0.0231703846,0.0315088523,0.0250660445,0.0190962999,0.0397736186,0.0443285688,0.0250728858,0.0251421442,0.0269775919,0.0440709115,0.0234128198,0.0253524284,0.0279156477,0.0288014014,0.0135592452,0.0446518646,0.0295105903,0.0261451305,0.0164681065,0.0241338068,0.0281878451,0.0236430498,0.0260201826,0.0403663182,0.0235067839,0.0172539577,0.0219932474,0.0279861550,0.0405496125,0.0426881110,0.0244894758,0.0258513205,0.0338451869,0.0444608945,0.0349865280,0.0281614103,0.0401344467,0.0250518914,0.0276666991,0.0287623035,0.0234718667,0.0209875050,0.0332238837,0.0392295545,0.0230758296,0.0288777537,0.0341271283,0.0168908285,0.0435304489,0.0430066855,0.0287367016,0.0248269022,0.0216218113,0.0315112975,0.0148887038,0.0180239263,0.0240378896,0.0252250019,0.0410100903,0.0226912327,0.0314619277,0.0243056631,0.1135641355,0.0299414830,0.0343016546,0.0203115466,0.0273159285,0.0292289453,0.0187384570,0.0169309543,0.0274033586,0.0272131140,0.0435532247
ACAO_TPIS3,0.0316320840,0.0184392911,0.0164653944,0.0309560141,0.0517880150,0.0391855014,0.0340572747,0.0386825299,0.0355465712,0.0321032172,0.0317617618,0.0201952405,0.0252665756,0.0284034042,0.0385958370,0.0132244862,0.0142158229,0.0342032313,0.0334208318,0.0162232824,0.0202831492,0.0267253347,0.0333845423,0.0224014311,0.0467157108,0.0321281554,0.0444514212,0.0406274914,0.0177278057,0.0259226868,0.0253933691,0.0232827591,0.0294060901,0.0480709221,0.0454472887,0.0288179929,0.0356073393,0.0252265111,0.0587786897,0.0273234173,0.0304360370,0.0326334236,0.0265899099,0.0247832829,0.0601780055,0.0238740127,0.0343190987,0.0168309338,0.0234738802,0.0285030596,0.0244904513,0.0277962143,0.0475567063,0.0232768302,0.0137098042,0.0178150977,0.0392275274,0.0503051035,0.0432629811,0.0239276953,0.0223416089,0.0368624842,0.0488685923,0.0331665047,0.0311476967,0.0322094178,0.0150175818,0.0309074202,0.0319015037,0.0270956487,0.0282926043,0.0368560490,0.0477560532,0.0201560568,0.0168228879,0.0378670421,0.0223902811,0.0402857627,0.0463748074,0.0383128053,0.0288050452,0.0250625477,0.0280783167,0.0174942589,0.0203286200,0.0228628449,0.0361598454,0.0540309707,0.0307443499,0.0422880950,0.0192944586,0.0299414830,0.2187962117,0.0407863124,0.0302507962,0.0376465935,0.0455162532,0.0213325675,0.0126080589,0.0365778860,0.0177747595,0.0408666602
ACAO_TRIS3,0.0360614627,0.0229890274,0.0209401992,0.0455289775,0.0676571226,0.0478208091,0.0400585728,0.0506974384,0.0397640208,0.0368085499,0.0380877732,0.0246601372,0.0241505309,0.0308884120,0.0410843172,0.0105761710,0.0149015581,0.0366125932,0.0371974757,0.0155996315,0.0244607381,0.0308607080,0.0407089632,0.0314502665,0.0441614870,0.0345468164,0.0741543798,0.0569715724,0.0203698624,0.0289882601,0.0385465895,0.0299709410,0.0330865898,0.0761717142,0.0746920754,0.0289953749,0.0325588544,0.0312040189,0.0760475633,0.0311100035,0.0318844794,0.0353863044,0.0370644208,0.0310477480,0.0825594926,0.0334383713,0.0256684540,0.0210341621,0.0247952902,0.0363768573,0.0315663119,0.0350935324,0.0680062689,0.0309187586,0.0170999702,0.0248985924,0.0439382335,0.0571714946,0.0628003022,0.0322809454,0.0288088065,0.0436419333,0.0739459924,0.0462185183,0.0426089350,0.0455988414,0.0269623444,0.0318679026,0.0321819506,0.0357372479,0.0285460152,0.0438292394,0.0609096441,0.0250918513,0.0278696756,0.0529278527,0.0296046796,0.0536260644,0.0677743100,0.0451193435,0.0341709832,0.0308447082,0.0392484050,0.0206307055,0.0196075083,0.0265570042,0.0332880080,0.0661956233,0.0305052853,0.0493119663,0.0280967503,0.0343016546,0.0407863124,0.1888041788,0.0331272761,0.0359550885,0.0461338035,0.0214428301,0.0203865574,0.0421050699,0.0243158510,0.0605312172
ACAO_UNIP6,0.0248372005,0.0155225083,0.0154056219,0.0237879861,0.0306199548,0.0288482673,0.0252992610,0.0327371652,0.0270468191,0.0261319437,0.0271077859,0.0198600370,0.0293029529,0.0361269510,0.0267771502,0.0106145798,0.0108392770,0.0235137783,0.0268016797,0.0113295187,0.0158245646,0.0213489851,0.0304012134,0.0195801004,0.0445115860,0.0223675757,0.0346975122,0.0352170993,0.0146379341,0.0165559361,0.0221911463,0.0183886230,0.0291987422,0.0367720327,0.0331421778,0.0325046575,0.0253297545,0.0184072229,0.0384422424,0.0307151474,0.0341094940,0.0367866034,0.0214913889,0.0246562182,0.0372386021,0.0205104081,0.0263429381,0.0149503722,0.0185215900,0.0241992101,0.0215131629,0.0234767765,0.0346006632,0.0217758006,0.0200214287,0.0207635227,0.0273369256,0.0325823664,0.0297375572,0.0271750985,0.0193084681,0.0244370973,0.0372039587,0.0232719985,0.0271480996,0.0245303443,0.0140708645,0.0349454738,0.0338350910,0.0201585353,0.0215861967,0.0259901789,0.0371334219,0.0143751432,0.0138688871,0.0340967378,0.0188056409,0.0285636061,0.0305066489,0.0309275597,0.0253610523,0.0214261567,0.0222915493,0.0113336641,0.0207537119,0.0250328335,0.0276960549,0.0353606523,0.0226133228,0.0286558663,0.0212177482,0.0203115466,0.0302507962,0.0331272761,0.1382033045,0.0354078504,0.0424212139,0.0290490302,0.0132232249,0.0265580142,0.0164595779,0.0327056359
ACAO_USIM3,0.0346290960,0.0230378697,0.0195295798,0.0354431440,0.0475064138,0.0518954139,0.0416669242,0.0494442820,0.0487017645,0.0448258347,0.0457711585,0.0303768642,0.0686983323,0.0550677919,0.0439234498,0.0112018815,0.0204548158,0.0349944117,0.0383627238,0.0135686046,0.0249726483,0.0325082004,0.0450498513,0.0251062441,0.1241427258,0.0319314114,0.0554998278,0.0541103498,0.0172446082,0.0335051761,0.0284750726,0.0239945659,0.0329300104,0.0517966508,0.0451061642,0.0502695356,0.0374688826,0.0232565660,0.0672952701,0.0804345430,0.0878199932,0.0911380069,0.0273991646,0.0262962640,0.0539967958,0.0323152523,0.0320471023,0.0184476451,0.0322344166,0.0410871687,0.0349482125,0.0415066717,0.0467071474,0.0301008283,0.0326086750,0.0269326649,0.0291464417,0.0376489726,0.0469331865,0.0376102955,0.0221228656,0.0347420678,0.0586380171,0.0343099207,0.0453397130,0.0361489856,0.0210945030,0.0560366676,0.0561656250,0.0308552507,0.0257343692,0.0393286267,0.0477211313,0.0231065378,0.0174555540,0.0486027380,0.0236177965,0.0454695419,0.0455434072,0.0364683570,0.0411477969,0.0342425949,0.0335038790,0.0203668298,0.0250318484,0.0297063641,0.0369179767,0.0540919295,0.0298004195,0.0372876795,0.0292273240,0.0273159285,0.0376465935,0.0359550885,0.0354078504,0.2104842706,0.1574988648,0.0671923253,0.0182089675,0.0284443816,0.0222924425,0.0404292283
ACAO_USIM5,0.0451690628,0.0276888468,0.0203132275,0.0390924522,0.0544141448,0.0680566508,0.0562376381,0.0623748509,0.0659074201,0.0569216305,0.0580326168,0.0371842706,0.0955977306,0.0639834024,0.0544404570,0.0152268055,0.0277592123,0.0495143751,0.0549100221,0.0169953665,0.0288164642,0.0423027686,0.0552996135,0.0338458599,0.1713608559,0.0398288591,0.0683745129,0.0674421575,0.0235902303,0.0396792081,0.0398833998,0.0292299388,0.0422169543,0.0649290708,0.0567002229,0.0611286211,0.0483182180,0.0289293127,0.0782749860,0.1093339734,0.1231272437,0.1310474803,0.0351959273,0.0293683888,0.0663463003,0.0368038356,0.0394356059,0.0239484771,0.0402832432,0.0530920068,0.0460000159,0.0534504432,0.0616505393,0.0330742890,0.0386202117,0.0312672044,0.0478172563,0.0493032168,0.0554401285,0.0493165838,0.0289480462,0.0464149270,0.0660903122,0.0414206344,0.0524074753,0.0487831117,0.0243467631,0.0744284247,0.0771899708,0.0376485255,0.0316574786,0.0503159809,0.0590095697,0.0277030377,0.0247573734,0.0651371603,0.0303221934,0.0550903418,0.0533394526,0.0467916857,0.0564167726,0.0472737670,0.0433021503,0.0251300756,0.0284366157,0.0339728314,0.0447793214,0.0649082478,0.0373551063,0.0478770318,0.0360512607,0.0292289453,0.0455162532,0.0461338035,0.0424212139,0.1574988648,0.2370163099,0.0898385445,0.0222415032,0.0364622848,0.0304113696,0.0533899181
ACAO_VALE3,0.0267971500,0.0190257148,0.0126980766,0.0189416579,0.0264306259,0.0363625353,0.0291519137,0.0375669361,0.0405910308,0.0362573600,0.0385325882,0.0255661883,0.1169908812,0.0438635109,0.0326818306,0.0101045742,0.0146207063,0.0298492779,0.0311350876,0.0106007117,0.0187588308,0.0253986930,0.0360196773,0.0198805079,0.1130287288,0.0214013239,0.0341476456,0.0374809861,0.0149260468,0.0278618044,0.0233495238,0.0151709849,0.0251285583,0.0311962053,0.0261945661,0.0439766340,0.0261095481,0.0150351312,0.0448436885,0.0735874276,0.0849781479,0.0863166902,0.0170286158,0.0181315029,0.0323239953,0.0217918245,0.0310552221,0.0141780659,0.0257321552,0.0342041121,0.0294606071,0.0359937137,0.0344403558,0.0226380150,0.0269188847,0.0218617662,0.0264984345,0.0263292281,0.0306968103,0.0320866113,0.0150121419,0.0256623898,0.0355272904,0.0229658603,0.0277885358,0.0303504153,0.0127878871,0.0633475032,0.0588911723,0.0192887589,0.0194712154,0.0239536260,0.0268793237,0.0156166084,0.0145390985,0.0323279817,0.0176790183,0.0300846132,0.0249126100,0.0224407376,0.0382368311,0.0328222354,0.0271164889,0.0177299711,0.0214623256,0.0209140903,0.0251730035,0.0320033652,0.0240209893,0.0262114909,0.0276369679,0.0187384570,0.0213325675,0.0214428301,0.0290490302,0.0671923253,0.0898385445,0.1258084558,0.0160890235,0.0196454711,0.0209310352,0.0289903959
ACAO_VIVT3,0.0159949229,0.0166868097,0.0083001809,0.0195264045,0.0213661136,0.0267347958,0.0228763636,0.0239663050,0.0258309041,0.0228910268,0.0235096398,0.0127012846,0.0183986716,0.0192231170,0.0240287949,0.0073162959,0.0095066731,0.0215458162,0.0241852224,0.0091799682,0.0178445344,0.0230539985,0.0240722335,0.0142161948,0.0241805677,0.0159288529,0.0270410674,0.0239907285,0.0157722935,0.0150511887,0.0174706129,0.0171019703,0.0142148048,0.0253017831,0.0275452688,0.0127862037,0.0112655248,0.0152457365,0.0285364850,0.0184160536,0.0186921264,0.0206024113,0.0174764899,0.0141917373,0.0266065870,0.0186737574,0.0132806014,0.0126934355,0.0175414495,0.0220118085,0.0193098150,0.0214637828,0.0240532113,0.0133015151,0.0123349166,0.0100842726,0.0154239097,0.0233082344,0.0275597508,0.0182693000,0.0141232208,0.0245257073,0.0272707014,0.0225170907,0.0195471299,0.0214272807,0.0121148101,0.0246319240,0.0245747393,0.0147101242,0.0104088824,0.0189889345,0.0201547000,0.0153948397,0.0154474187,0.0218973401,0.0116007822,0.0237132006,0.0236954967,0.0139963883,0.0235756045,0.0207508801,0.0229897920,0.0095414378,0.0103601764,0.0133364530,0.0121327540,0.0212734918,0.0103471932,0.0201243307,0.0343525854,0.0169309543,0.0126080589,0.0203865574,0.0132232249,0.0182089675,0.0222415032,0.0160890235,0.0660831594,0.0160142706,0.0140765264,0.0260653646
ACAO_VLID3,0.0289572457,0.0168801732,0.0130474055,0.0308875724,0.0471758760,0.0339886272,0.0305838415,0.0368183392,0.0347570253,0.0315411033,0.0317943824,0.0183435119,0.0237216356,0.0276586572,0.0341515425,0.0130859692,0.0143935478,0.0326115403,0.0331232521,0.0134282290,0.0226917447,0.0281576858,0.0337944238,0.0294644311,0.0350308090,0.0269315744,0.0453203024,0.0389069477,0.0194943897,0.0221986885,0.0219779488,0.0226461981,0.0230507587,0.0493895657,0.0458694355,0.0264717051,0.0245049746,0.0244174242,0.0482723081,0.0264165743,0.0284045886,0.0298985994,0.0279409706,0.0171122604,0.0527752090,0.0279674065,0.0239731820,0.0164545471,0.0229134009,0.0286278711,0.0265150687,0.0290489191,0.0422181366,0.0234064448,0.0146610483,0.0162674045,0.0365000421,0.0419666985,0.0418401128,0.0209441591,0.0225048508,0.0358820688,0.0446260655,0.0345228610,0.0371436802,0.0313923074,0.0200595929,0.0306818836,0.0320220047,0.0251616328,0.0223880269,0.0386958740,0.0420055431,0.0224709882,0.0197862063,0.0445963198,0.0185143866,0.0366495618,0.0444316101,0.0297581847,0.0294572441,0.0285952025,0.0285074860,0.0152513502,0.0204102921,0.0256210460,0.0220783571,0.0475094548,0.0213394674,0.0389091862,0.0220768157,0.0274033586,0.0365778860,0.0421050699,0.0265580142,0.0284443816,0.0364622848,0.0196454711,0.0160142706,0.1348353830,0.0204551239,0.0453245984
ACAO_WEGE3,0.0209063845,0.0193743762,0.0106691614,0.0245089568,0.0255678024,0.0281632707,0.0241783783,0.0337658308,0.0264954816,0.0270865785,0.0260336129,0.0192160372,0.0233839263,0.0248910128,0.0236123474,0.0077440029,0.0099294049,0.0235993244,0.0257393023,0.0072283179,0.0151783347,0.0209190413,0.0292344685,0.0192847178,0.0329214389,0.0200704583,0.0324895852,0.0322660492,0.0155670328,0.0244888291,0.0210636513,0.0186854795,0.0188558922,0.0294743101,0.0305605477,0.0206355893,0.0188342184,0.0198638603,0.0289829903,0.0275580285,0.0306837029,0.0312738727,0.0203321342,0.0140173509,0.0325709427,0.0245206834,0.0194491366,0.0123359270,0.0182748468,0.0266842873,0.0227715248,0.0256622064,0.0322613439,0.0172330360,0.0212149376,0.0148875315,0.0223557560,0.0284882343,0.0305595520,0.0219565832,0.0206047922,0.0278649148,0.0311442956,0.0234308989,0.0286739079,0.0293735037,0.0172696895,0.0267021929,0.0273116339,0.0145542114,0.0131075381,0.0267670594,0.0230781358,0.0190375992,0.0248254641,0.0313076486,0.0133416051,0.0313496061,0.0267102278,0.0252025599,0.0249827832,0.0243810675,0.0226776218,0.0092735040,0.0172464871,0.0214505872,0.0175534002,0.0279388948,0.0158842449,0.0258529197,0.0203760423,0.0272131140,0.0177747595,0.0243158510,0.0164595779,0.0222924425,0.0304113696,0.0209310352,0.0140765264,0.0204551239,0.0827348593,0.0287171151
ACAO_YDUQ3,0.0396960460,0.0274955711,0.0186589076,0.0523036641,0.0739969405,0.0517641874,0.0465646751,0.0581405114,0.0524933868,0.0493711097,0.0508597027,0.0273168498,0.0331278050,0.0416216878,0.0520417558,0.0121196760,0.0184060501,0.0415204483,0.0479450484,0.0173931276,0.0312063068,0.0395487979,0.0526377792,0.0329299880,0.0512495879,0.0367882833,0.0734031194,0.0607410385,0.0271287909,0.0340587591,0.0321729884,0.0360539436,0.0379881360,0.0731017432,0.0726927306,0.0334190914,0.0412206001,0.0423122871,0.0744700157,0.0398698186,0.0417356139,0.0443718843,0.0388522657,0.0312908495,0.0798331302,0.0427539712,0.0350512851,0.0225069589,0.0367154526,0.0464506682,0.0422255820,0.0459590633,0.0650632323,0.0297201122,0.0149345921,0.0207422673,0.0438815162,0.0597718646,0.0713018643,0.0320922408,0.0350953645,0.0549808439,0.0793913037,0.0526444943,0.0478956875,0.0578386814,0.0338887549,0.0462547169,0.0490908183,0.0323208926,0.0288811288,0.0535714471,0.0572051135,0.0337648040,0.0340985183,0.0617625250,0.0247258834,0.0662714711,0.0727581581,0.0414221302,0.0462333639,0.0439833759,0.0459076088,0.0216925442,0.0208187540,0.0315538876,0.0317864849,0.0689126070,0.0290222316,0.0552034471,0.0342223942,0.0435532247,0.0408666602,0.0605312172,0.0327056359,0.0404292283,0.0533899181,0.0289903959,0.0260653646,0.0453245984,0.0287171151,0.2064187334
