data,ibov_ret_simples,ibov_ret_log
2010-08-25,-0.00541666,-0.00543139
2010-08-26,-0.01444291,-0.01454822
2010-08-27,0.02689413,0.02653883
2010-08-30,-0.02019284,-0.02039950
2010-08-31,0.01376672,0.01367281
2010-09-01,0.02958119,0.02915211
2010-09-02,-0.00394275,-0.00395054
2010-09-03,-0.00193779,-0.00193967
2010-09-06,0.00103002,0.00102949
2010-09-08,-0.00509414,-0.00510716
2010-09-09,0.00326500,0.00325968
2010-09-10,0.00274210,0.00273835
2010-09-13,0.01831835,0.01815259
2010-09-14,-0.00497908,-0.00499152
2010-09-15,0.00613072,0.00611201
2010-09-16,-0.00651711,-0.00653844
2010-09-17,-0.00848130,-0.00851747
2010-09-20,0.01641607,0.01628279
2010-09-21,-0.00691196,-0.00693596
2010-09-22,0.00894947,0.00890966
2010-09-23,0.00686628,0.00684282
2010-09-24,-0.00869025,-0.00872823
2010-09-27,0.00908390,0.00904289
2010-09-28,0.00598204,0.00596422
2010-09-29,0.00000881,0.00000881
2010-09-30,0.00291124,0.00290701
2010-10-01,0.01151624,0.01145043
2010-10-04,0.00221517,0.00221272
2010-10-05,0.01276111,0.01268038
2010-10-06,-0.01040555,-0.01046007
2010-10-07,-0.00883127,-0.00887050
2010-10-08,0.01273485,0.01265444
2010-10-11,0.00194453,0.00194264
2010-10-13,0.01026703,0.01021469
2010-10-14,0.00024262,0.00024259
2010-10-15,0.00192336,0.00192151
2010-10-18,-0.00131769,-0.00131856
2010-10-19,-0.02609516,-0.02644168
2010-10-20,0.00774509,0.00771525
2010-10-21,-0.01068935,-0.01074689
2010-10-22,-0.00175687,-0.00175842
2010-10-25,0.00072703,0.00072676
2010-10-26,0.01667297,0.01653550
2010-10-27,-0.00242365,-0.00242659
2010-10-28,-0.00352577,-0.00353200
2010-10-29,0.00502232,0.00500975
2010-11-01,0.01255962,0.01248141
2010-11-03,0.00480486,0.00479335
2010-11-04,0.01517173,0.01505779
2010-11-05,-0.00533059,-0.00534485
2010-11-08,0.00069952,0.00069928
2010-11-09,-0.01345906,-0.01355046
2010-11-10,-0.00057325,-0.00057341
2010-11-11,-0.00618691,-0.00620613
2010-11-12,-0.01163014,-0.01169830
2010-11-16,-0.01669444,-0.01683536
2010-11-17,0.00746064,0.00743295
2010-11-18,0.01538934,0.01527213
2010-11-19,0.00164591,0.00164456
2010-11-22,-0.01784820,-0.01800940
2010-11-23,-0.02412595,-0.02442174
2010-11-24,0.02467619,0.02437665
2010-11-25,-0.00384507,-0.00385248
2010-11-26,-0.01637116,-0.01650664
2010-11-29,-0.00465980,-0.00467069
2010-11-30,-0.00298609,-0.00299056
2010-12-01,0.02422923,0.02394036
2010-12-02,0.00261328,0.00260987
2010-12-03,0.00343780,0.00343190
2010-12-06,-0.00307141,-0.00307613
2010-12-07,-0.00307929,-0.00308404
2010-12-08,-0.01676896,-0.01691115
2010-12-09,-0.00433385,-0.00434327
2010-12-10,0.00681163,0.00678854
2010-12-13,0.01147891,0.01141353
2010-12-14,-0.00554564,-0.00556108
2010-12-15,-0.01269701,-0.01277830
2010-12-16,-0.00830630,-0.00834099
2010-12-17,0.01002624,0.00997631
2010-12-20,-0.01055615,-0.01061226
2010-12-21,0.01414227,0.01404320
2010-12-22,0.00375138,0.00374436
2010-12-23,0.00022199,0.00022197
2010-12-27,-0.00996993,-0.01001996
2010-12-28,0.00350692,0.00350078
2010-12-29,0.01339605,0.01330712
2010-12-30,0.00511063,0.00509761
2011-01-03,0.00948722,0.00944250
2011-01-04,0.00508088,0.00506801
2011-01-05,0.01099636,0.01093634
2011-01-06,-0.00720485,-0.00723093
2011-01-07,-0.00739074,-0.00741819
2011-01-10,0.00099690,0.00099640
2011-01-11,0.00422662,0.00421771
2011-01-12,0.01717411,0.01702830
2011-01-13,-0.01272404,-0.01280569
2011-01-14,0.00309355,0.00308877
2011-01-17,-0.00466801,-0.00467894
2011-01-18,0.00440000,0.00439035
2011-01-19,-0.01214993,-0.01222434
2011-01-20,-0.00708769,-0.00711293
2011-01-21,-0.00615915,-0.00617820
2011-01-24,0.00424515,0.00423616
2011-01-26,-0.01033250,-0.01038625
2011-01-27,-0.00958401,-0.00963023
2011-01-28,-0.01988429,-0.02008464
2011-01-31,-0.00183950,-0.00184119
2011-02-01,0.01911322,0.01893285
2011-02-02,-0.01708040,-0.01722796
2011-02-03,0.00114503,0.00114437
2011-02-04,-0.02240236,-0.02265710
2011-02-07,0.00142318,0.00142217
2011-02-08,0.00626189,0.00624237
2011-02-09,-0.02362443,-0.02390796
2011-02-10,0.00561077,0.00559509
2011-02-11,0.01823892,0.01807459
2011-02-14,0.01219500,0.01212124
2011-02-15,-0.00324772,-0.00325300
2011-02-16,0.01861930,0.01844808
2011-02-17,0.00160366,0.00160238
2011-02-18,0.00564128,0.00562543
2011-02-21,-0.01187304,-0.01194409
2011-02-22,-0.01217434,-0.01224906
2011-02-23,0.00708385,0.00705888
2011-02-24,0.00057555,0.00057538
2011-02-25,-0.00069396,-0.00069420
2011-02-28,0.00718493,0.00715924
2011-03-01,-0.01692691,-0.01707181
2011-03-02,0.01568295,0.01556125
2011-03-03,0.01284186,0.01276011
2011-03-04,-0.00195802,-0.00195993
2011-03-09,-0.01100319,-0.01106417
2011-03-10,-0.01818349,-0.01835085
2011-03-11,0.00975066,0.00970343
2011-03-14,0.00726779,0.00724151
2011-03-15,-0.00244204,-0.00244503
2011-03-16,-0.01496376,-0.01507685
2011-03-17,0.00323260,0.00322739
2011-03-18,0.01002719,0.00997726
2011-03-21,-0.00284510,-0.00284916
2011-03-22,0.01332621,0.01323820
2011-03-23,0.00321375,0.00320860
2011-03-24,-0.00387253,-0.00388005
2011-03-25,0.00344972,0.00344379
2011-03-28,-0.00845735,-0.00849331
2011-03-29,0.00336256,0.00335692
2011-03-30,0.00857773,0.00854115
2011-03-31,0.00867155,0.00863417
2011-04-01,0.00993764,0.00988859
2011-04-04,0.00628729,0.00626761
2011-04-05,0.00191840,0.00191657
2011-04-06,-0.01146390,-0.01153011
2011-04-07,0.00201646,0.00201443
2011-04-08,-0.00662237,-0.00664440
2011-04-11,-0.00805684,-0.00808947
2011-04-12,-0.01860400,-0.01877923
2011-04-13,-0.00612501,-0.00614384
2011-04-14,-0.00312244,-0.00312732
2011-04-15,0.00611537,0.00609675
2011-04-18,-0.01902579,-0.01920911
2011-04-19,0.01135205,0.01128810
2011-04-20,0.01360272,0.01351103
2011-04-25,-0.00127725,-0.00127807
2011-04-26,0.00256658,0.00256329
2011-04-27,-0.01310298,-0.01318958
2011-04-28,-0.00892273,-0.00896278
2011-04-29,0.00699905,0.00697467
2011-05-02,-0.01013278,-0.01018447
2011-05-03,-0.01748429,-0.01763895
2011-05-04,-0.01092506,-0.01098518
2011-05-05,-0.00327735,-0.00328273
2011-05-06,0.01593404,0.01580843
2011-05-09,0.00317663,0.00317159
2011-05-10,0.00394463,0.00393687
2011-05-11,-0.01697153,-0.01711720
2011-05-12,0.00356467,0.00355834
2011-05-13,-0.01199722,-0.01206977
2011-05-16,-0.00641446,-0.00643512
2011-05-17,0.01342773,0.01333838
2011-05-18,-0.01307816,-0.01316443
2011-05-19,-0.00753096,-0.00755946
2011-05-20,0.00367436,0.00366762
2011-05-23,-0.00401524,-0.00402332
2011-05-24,0.01590452,0.01577937
2011-05-25,0.00081611,0.00081578
2011-05-26,0.01120283,0.01114054
2011-05-27,0.00306387,0.00305919
2011-05-30,-0.00530415,-0.00531827
2011-05-31,0.01041609,0.01036222
2011-06-01,-0.01870316,-0.01888028
2011-06-02,0.01272009,0.01263987
2011-06-03,0.00190632,0.00190450
2011-06-06,-0.01978179,-0.01998006
2011-06-07,0.00238030,0.00237747
2011-06-08,-0.00292449,-0.00292878
2011-06-09,0.00691464,0.00689084
2011-06-10,-0.01215810,-0.01223261
2011-06-13,-0.01075392,-0.01081216
2011-06-14,0.00293295,0.00292866
2011-06-15,-0.00966308,-0.00971007
2011-06-16,-0.01173825,-0.01180769
2011-06-17,0.00294609,0.00294176
2011-06-20,0.00177301,0.00177144
2011-06-21,0.00417488,0.00416619
2011-06-22,-0.00373667,-0.00374367
2011-06-24,-0.00289848,-0.00290269
2011-06-27,0.00328205,0.00327668
2011-06-28,0.01774655,0.01759092
2011-06-29,0.00049115,0.00049102
2011-06-30,0.00111769,0.00111706
2011-07-01,0.01587568,0.01575098
2011-07-04,0.00783934,0.00780878
2011-07-05,-0.01334297,-0.01343279
2011-07-06,-0.00750887,-0.00753720
2011-07-07,-0.00572408,-0.00574053
2011-07-08,-0.01115769,-0.01122040
2011-07-11,-0.02096475,-0.02118764
2011-07-12,-0.00861589,-0.00865322
2011-07-13,0.01616521,0.01603595
2011-07-14,-0.01632671,-0.01646146
2011-07-15,-0.00337370,-0.00337940
2011-07-18,-0.01076700,-0.01082539
2011-07-19,0.00415585,0.00414723
2011-07-20,0.00063606,0.00063586
2011-07-21,0.01933771,0.01915312
2011-07-22,0.00012479,0.00012478
2011-07-25,-0.00497640,-0.00498882
2011-07-26,-0.01051583,-0.01057151
2011-07-27,-0.01771894,-0.01787780
2011-07-28,0.00720194,0.00717613
2011-07-29,0.00196225,0.00196032
2011-08-01,-0.00489108,-0.00490308
2011-08-02,-0.02092670,-0.02114877
2011-08-03,-0.02257097,-0.02282960
2011-08-04,-0.05722990,-0.05893282
2011-08-05,0.00261042,0.00260702
2011-08-08,-0.08084973,-0.08430565
2011-08-09,0.05101083,0.04975240
2011-08-10,0.00477782,0.00476645
2011-08-11,0.03789880,0.03719829
2011-08-12,0.00244155,0.00243858
2011-08-15,0.02203864,0.02179930
2011-08-16,-0.00600565,-0.00602376
2011-08-17,0.01379529,0.01370100
2011-08-18,-0.03520635,-0.03584103
2011-08-19,-0.01291958,-0.01300376
2011-08-22,-0.00014109,-0.00014110
2011-08-23,0.02567494,0.02535088
2011-08-24,0.00016863,0.00016862
2011-08-25,-0.01565924,-0.01578315
2011-08-26,0.00750643,0.00747839
2011-08-29,0.02830211,0.02790901
2011-08-30,0.00955693,0.00951155
2011-08-31,0.02004314,0.01984492
2011-09-01,0.02872956,0.02832461
2011-09-02,-0.02729919,-0.02767874
2011-09-05,-0.02712128,-0.02749585
2011-09-06,0.02925339,0.02883368
2011-09-08,0.01795404,0.01779477
2011-09-09,-0.03202228,-0.03254621
2011-09-12,-0.00166588,-0.00166727
2011-09-13,-0.00254106,-0.00254429
2011-09-14,0.01336005,0.01327159
2011-09-15,0.00169527,0.00169383
2011-09-16,0.01469721,0.01459025
2011-09-19,-0.00187607,-0.00187783
2011-09-20,-0.01268152,-0.01276262
2011-09-21,-0.00703689,-0.00706176
2011-09-22,-0.04825881,-0.04946214
2011-09-23,-0.00093693,-0.00093737
2011-09-26,0.00971551,0.00966862
2011-09-27,0.00321578,0.00321062
2011-09-28,-0.01205482,-0.01212806
2011-09-29,0.00214585,0.00214355
2011-09-30,-0.01986057,-0.02006044
2011-10-03,-0.02929588,-0.02973358
2011-10-04,-0.00207101,-0.00207316
2011-10-05,0.00646150,0.00644072
2011-10-06,0.02502301,0.02471506
