Estratégia,Sharpe (rf CTE),Sharpe (rf VAR),Δ Sharpe,Sortino (rf CTE),Sortino (rf VAR),Δ Sortino
Estratégia,0.08980580666826482,0.09007436079532413,0.0002685541270593117,0.08854145735002569,0.08886080690209934,0.00031934955207364724
IBOVESPA,-0.057292083874134425,-0.05706681295438836,0.00022527091974606367,-0.0558051291450232,-0.05556985978207817,0.00023526936294502448
