Estratégia,Retorno acumulado,CAGR,Vol. anualizada,Sharpe (rf var),Sortino (rf var),Max Drawdown
Estratégia (SINTÉTICA),3.3048718429775015,0.09719012545387362,0.18149183097258184,0.09007436079532413,0.08886080690209934,-0.31162019755178977
IBOVESPA,1.3002283875666238,0.054355237094309006,0.23094746302396932,-0.05706681295438836,-0.05556985978207817,-0.486309177054346
