,mu_anual,sigma_anual,sharpe_anual,assimetria,curtose_exc
TRIS3,0.2554048125,0.4345160282,0.3739064028,0.1061544078,1.3902423615
TUPY3,0.1245383266,0.3164528392,0.0998627134,0.1875924314,1.1058593081
UNIP6,0.2888393218,0.3717570504,0.5269646781,0.4018523757,2.1314420232
USIM3,-0.0404621972,0.4587856478,-0.2907647291,0.2310272913,1.0494536633
USIM5,0.0252813132,0.4868432087,-0.1389670699,0.2664299551,0.9241379064
VALE3,0.1510047487,0.3546948770,0.1637132789,0.1811618782,0.9279380226
VIVR3,-0.6946631962,0.7189943727,-1.0954184254,0.3342138004,2.2010619480
VIVT3,0.1456435707,0.2570664494,0.2050329142,0.0715705545,0.8550836052
VLID3,0.1099435312,0.3671993778,0.0463155572,0.2208162405,0.9817104507
VSTE3,-0.2400244556,0.4462978913,-0.7460508988,0.1604552307,1.2282525371
WEGE3,0.2579311020,0.2876366793,0.5736216083,0.1501786734,0.8985419683
WHRL4,0.1251208661,0.3185922701,0.1010205887,0.2169781747,1.8154806910
YDUQ3,0.1617363058,0.4543332844,0.1514302841,0.1824980280,1.1220762977
