,assimetria,curtose,JB_p,LjungBox_p,ARCH_p,ADF_p,normal?
EqualWeight,-0.35431876425060455,5.747072561687344,1.2854795104294005e-196,0.0032184033196418264,1.5679888907349848e-155,3.126634340228668e-27,não
EqualWeight_BuyHold,-0.3216196641126253,5.825468127880485,4.248463284141164e-205,0.004674188951247862,2.3912403499927656e-167,5.212508490436084e-30,não
InvVol,-0.35257469595026547,5.695392689147804,1.187695674086584e-189,0.00341166848487784,5.3648109474259676e-157,8.582926293099507e-30,não
MinVar,-0.5867940142402872,6.89906500421735,0.0,1.6644800545994507e-05,1.6337721612340032e-176,3.39586283658701e-30,não
MinVar_c10,-0.6016243261107319,7.000985597329821,0.0,1.540271874940722e-05,8.40512882258591e-178,3.157843113342716e-30,não
MaxSharpe,-0.21907815824179658,4.868448799637799,2.2855613242781665e-90,0.013490158161386922,4.372432384571709e-125,1.112882822921722e-18,não
MaxSharpe_c10,-0.2983418177899781,5.791288423822051,5.077941108738135e-199,0.013655319025744765,4.005434352587619e-165,1.910852050789242e-18,não
MaxOmega,-0.11345759859722793,5.219358752460476,7.341571393895483e-122,0.0057719649742626125,1.4423893108289562e-150,9.560272079354147e-19,não
MaxSortino,-0.20254531794341527,4.692766246111585,1.840302749113337e-74,0.01149549774359958,2.1389868918680933e-115,1.2561912274999143e-18,não
MaxKappa3,-0.16810247834849842,4.471117674286897,3.7640890041002155e-56,0.007010428371937928,6.017196752930425e-95,1.7690433497957394e-18,não
MinCVaR,-0.5213854077045866,6.36501200187232,8.743179040358161e-303,6.834296995025986e-05,3.708125251725026e-160,2.95888270058896e-30,não
MinCDaR,-0.21399516409522756,4.716530333160266,6.740486283270111e-77,0.042494848370984,4.9093529174435255e-119,2.052149801117951e-30,não
BL_classico,-0.011663673606596677,4.789964115125375,1.0153533159747618e-78,0.12663994683133384,9.574530941073187e-88,0.0,não
BL_classico_c10,-0.35141255153040396,5.879740161053184,1.3806650516411473e-214,0.0004925330839148012,5.97877071106491e-166,0.0,não
BL_downside,0.0753522595961038,4.611325185336266,1.800020598938984e-64,0.26625501086361797,7.967669471392218e-77,0.0,não
BL_downside_c10,-0.2582928146145585,5.679977267636678,4.9944613365428845e-182,0.00018942262335372475,6.726083539002967e-172,0.0,não
