estrategia,benchmark,dSR_anual,JK_p,LW_p,LW_p_holm,signif_LW
EqualWeight_BuyHold,EqualWeight,0.152712,0.038809,0.057569,0.778008,nao
InvVol,EqualWeight,0.037431,0.020328,0.017142,0.257123,nao
MinVar,EqualWeight,0.002870,0.985994,0.983802,1.000000,nao
MinVar_c10,EqualWeight,0.014233,0.926930,0.915738,1.000000,nao
MaxSharpe,EqualWeight,0.014414,0.939525,0.946367,1.000000,nao
MaxSharpe_c10,EqualWeight,-0.029604,0.861937,0.878392,1.000000,nao
MaxOmega,EqualWeight,-0.141454,0.432336,0.501399,1.000000,nao
MaxSortino,EqualWeight,-0.008954,0.963294,0.967490,1.000000,nao
MaxKappa3,EqualWeight,-0.005932,0.976786,0.979449,1.000000,nao
MinCVaR,EqualWeight,-0.025808,0.889040,0.873262,1.000000,nao
MinCDaR,EqualWeight,-0.395212,0.043713,0.055572,0.778008,nao
BL_classico,EqualWeight,0.320782,0.216210,0.259824,1.000000,nao
BL_classico_c10,EqualWeight,0.273044,0.152662,0.190409,1.000000,nao
BL_downside,EqualWeight,0.223643,0.432913,0.494008,1.000000,nao
BL_downside_c10,EqualWeight,0.104897,0.595165,0.624721,1.000000,nao
EqualWeight,EW_BuyHold,-0.152712,0.038809,0.057569,0.805962,nao
InvVol,EW_BuyHold,-0.115281,0.116716,0.150100,1.000000,nao
MinVar,EW_BuyHold,-0.149841,0.380718,0.328024,1.000000,nao
MinVar_c10,EW_BuyHold,-0.138479,0.396751,0.349422,1.000000,nao
MaxSharpe,EW_BuyHold,-0.138298,0.415813,0.464803,1.000000,nao
MaxSharpe_c10,EW_BuyHold,-0.182315,0.226545,0.273495,1.000000,nao
MaxOmega,EW_BuyHold,-0.294166,0.054550,0.100806,1.000000,nao
MaxSortino,EW_BuyHold,-0.161665,0.352509,0.406073,1.000000,nao
MaxKappa3,EW_BuyHold,-0.158644,0.392848,0.445470,1.000000,nao
MinCVaR,EW_BuyHold,-0.178520,0.346810,0.280107,1.000000,nao
MinCDaR,EW_BuyHold,-0.547924,0.009134,0.013275,0.199123,nao
BL_classico,EW_BuyHold,0.168071,0.488381,0.510399,1.000000,nao
BL_classico_c10,EW_BuyHold,0.120332,0.489456,0.511195,1.000000,nao
BL_downside,EW_BuyHold,0.070932,0.793383,0.813443,1.000000,nao
BL_downside_c10,EW_BuyHold,-0.047815,0.790862,0.797631,1.000000,nao
EqualWeight,IBOV,0.112543,0.368295,0.387357,1.000000,nao
EqualWeight_BuyHold,IBOV,0.265255,0.038232,0.034502,0.552024,nao
InvVol,IBOV,0.149974,0.218403,0.239112,1.000000,nao
MinVar,IBOV,0.115413,0.565028,0.547172,1.000000,nao
MinVar_c10,IBOV,0.126775,0.514557,0.498189,1.000000,nao
MaxSharpe,IBOV,0.126957,0.554970,0.575670,1.000000,nao
MaxSharpe_c10,IBOV,0.082939,0.678766,0.696824,1.000000,nao
MaxOmega,IBOV,-0.028911,0.890519,0.896191,1.000000,nao
MaxSortino,IBOV,0.103589,0.635099,0.653832,1.000000,nao
MaxKappa3,IBOV,0.106611,0.636447,0.656128,1.000000,nao
MinCVaR,IBOV,0.086735,0.687715,0.662453,1.000000,nao
MinCDaR,IBOV,-0.282669,0.231979,0.258471,1.000000,nao
BL_classico,IBOV,0.433325,0.114822,0.127400,1.000000,nao
BL_classico_c10,IBOV,0.385587,0.075971,0.088698,1.000000,nao
BL_downside,IBOV,0.336186,0.251764,0.290508,1.000000,nao
BL_downside_c10,IBOV,0.217440,0.307104,0.323079,1.000000,nao
