cvar_diario,ret
0.016815743572295243,0.1385877538495277
0.016829252612370164,0.14327084354398786
0.016861935299774554,0.14795393326440337
0.01691605717218134,0.1526370229849796
0.016996282052693032,0.15732011270545937
0.017110378290059323,0.1620032024187758
0.01724239385079507,0.166686292144897
0.017408486084612835,0.1713693818669532
0.017598321385015686,0.176052471582098
0.017804934198538406,0.18073556130787394
0.01802533548382393,0.18541865102397537
0.018277173662025404,0.19010174074183145
0.01856569315374456,0.19478483046976588
0.018881558497025094,0.19946792019013795
0.019242764740292382,0.20415100988928242
0.019630526717124886,0.20883409963107363
0.020057656522509917,0.2135171893473818
0.0204978563290692,0.21820027905121625
0.020956940110585066,0.22288336879201795
0.021446274175040855,0.2275664585121118
0.021962681198608145,0.23224954822583155
0.022508978703081172,0.23693263795132188
0.023082102192635446,0.24161572767505138
0.02367932224637579,0.24629881739375378
0.024319921414851845,0.2509819071150847
0.02505539936802049,0.2556649968117305
0.026008933537463943,0.26034808655709324
0.027280794827630118,0.26503117625744865
0.029479951085416917,0.26971426599804205
0.03253483639472798,0.27439735571617224
