ticker,presenca_pct,adtv_2010,motivo
AALR3,57.42,,Presença em pregão < 95%
ADMF3,1.21,,Presença em pregão < 95%
AERI3,32.29,,Presença em pregão < 95%
AESO3,0.0,,Presença em pregão < 95%
AFLT3,42.15,,Presença em pregão < 95%
AGXY3,27.96,,Presença em pregão < 95%
AHEB3,9.65,,Presença em pregão < 95%
AHEB5,2.39,,Presença em pregão < 95%
AHEB6,1.61,,Presença em pregão < 95%
ALLD3,29.77,,Presença em pregão < 95%
ALOS3,93.22,,Presença em pregão < 95%
ALPA3,87.27,,Presença em pregão < 95%
ALPK3,35.42,,Presença em pregão < 95%
ALUP11,79.41,,Presença em pregão < 95%
ALUP3,52.28,,Presença em pregão < 95%
ALUP4,53.06,,Presença em pregão < 95%
AMBP3,34.41,,Presença em pregão < 95%
AMOB3,6.55,,Presença em pregão < 95%
ANIM3,76.13,,Presença em pregão < 95%
APTI3,0.0,,Presença em pregão < 95%
APTI4,0.13,,Presença em pregão < 95%
ARML3,27.91,,Presença em pregão < 95%
ARND3,28.99,,Presença em pregão < 95%
ASAI3,30.5,,Presença em pregão < 95%
ATED3,6.6,,Presença em pregão < 95%
AUAU3,33.32,,Presença em pregão < 95%
AURA33,34.51,,Presença em pregão < 95%
AURE3,23.72,,Presença em pregão < 95%
AVLL3,27.38,,Presença em pregão < 95%
AXIA5,6.1,,Presença em pregão < 95%
AXIA7,0.13,,Presença em pregão < 95%
AZEV3,44.06,,Presença em pregão < 95%
AZEV4,69.15,,Presença em pregão < 95%
AZTE3,5.55,,Presença em pregão < 95%
AZUL53,0.0,,Presença em pregão < 95%
AZZA3,93.27,,Presença em pregão < 95%
BALM3,13.21,,Presença em pregão < 95%
BALM4,37.18,,Presença em pregão < 95%
BAUH3,0.0,,Presença em pregão < 95%
BAUH4,49.23,,Presença em pregão < 95%
BAZA3,91.71,,Presença em pregão < 95%
BBML3,0.0,,Presença em pregão < 95%
BBSE3,79.33,,Presença em pregão < 95%
BDLL3,10.18,,Presença em pregão < 95%
BDLL4,54.4,,Presença em pregão < 95%
BEES4,83.56,,Presença em pregão < 95%
BETP3,0.0,,Presença em pregão < 95%
BGIP3,17.54,,Presença em pregão < 95%
BGIP4,73.18,,Presença em pregão < 95%
BHIA3,77.46,,Presença em pregão < 95%
BIED3,72.15,,Presença em pregão < 95%
BIOM3,67.68,,Presença em pregão < 95%
BLAU3,29.64,,Presença em pregão < 95%
BMEB3,51.78,,Presença em pregão < 95%
